"","exp_beta","weibull_beta","cox_beta","dist","gamma","n"
"1",-0.38131729941969,-0.379657971864967,-0.377864598374885,"weibull",1,100
"2",-0.732667912432593,-0.744260700422323,-0.729194208459539,"weibull",1,100
"3",-0.31230026354212,-0.292660546652174,-0.280305304931849,"weibull",1,100
"4",-0.481660317918281,-0.481267972953648,-0.475640027860162,"weibull",1,100
"5",-0.715510883101199,-0.690787787622708,-0.694554748354691,"weibull",1,100
"6",-0.490897425272548,-0.491781153301289,-0.484961757547786,"weibull",1,100
"7",-0.687905561137642,-0.682938039740151,-0.667874005515428,"weibull",1,100
"8",-0.0158093753758602,-0.015439709201871,-0.0142123094688115,"weibull",1,100
"9",-0.768891955151157,-0.765334929581435,-0.765419529227229,"weibull",1,100
"10",-0.583223044774996,-0.585994681647544,-0.596259792596389,"weibull",1,100
"11",-0.49814705374771,-0.520288827265739,-0.51633767970151,"weibull",1,100
"12",0.083950111457262,0.0839712394435885,0.0804648046858517,"weibull",1,100
"13",-0.579564705932419,-0.589224066750631,-0.59090615242347,"weibull",1,100
"14",-1.16090986043385,-1.16016402351669,-1.14756707022905,"weibull",1,100
"15",-0.407364056214849,-0.410972029286457,-0.413098569015696,"weibull",1,100
"16",-0.842517727684279,-0.853665836703246,-0.839713662812744,"weibull",1,100
"17",-0.765893079622454,-0.773746309237506,-0.760741723993188,"weibull",1,100
"18",-0.662240089918197,-0.667463873652429,-0.660801083974211,"weibull",1,100
"19",-1.12688314217575,-1.14160115752607,-1.12891007462013,"weibull",1,100
"20",-0.77561027889146,-0.790538537533904,-0.790713020453145,"weibull",1,100
"21",-1.14033132696989,-1.15292180141142,-1.13374071552235,"weibull",1,100
"22",-0.355397192743768,-0.360975657195972,-0.348361835102255,"weibull",1,100
"23",-0.258745032104595,-0.25847230586749,-0.254829949444262,"weibull",1,100
"24",-0.662036123062194,-0.662917190639129,-0.654984800206179,"weibull",1,100
"25",-0.593949564754621,-0.5924074114177,-0.580843799008061,"weibull",1,100
"26",0.241685754184996,0.238066062310553,0.240765182663984,"weibull",1,100
"27",-1.53273793591902,-1.55301779246904,-1.56281329450138,"weibull",1,100
"28",-0.182800028143068,-0.186592617775182,-0.197622063907483,"weibull",1,100
"29",-0.363400229713587,-0.351452478423186,-0.339449971356615,"weibull",1,100
"30",-0.887660003967325,-0.918306299895071,-0.921269069302381,"weibull",1,100
"31",-0.690669192122248,-0.682879222363665,-0.692324357131189,"weibull",1,100
"32",-0.608412256448092,-0.620740327036848,-0.608297381990829,"weibull",1,100
"33",-0.708299175159547,-0.719608602462414,-0.714365874984222,"weibull",1,100
"34",0.196632481427597,0.197876337099686,0.200310738427447,"weibull",1,100
"35",-0.440332239413125,-0.441294733713204,-0.440146786109932,"weibull",1,100
"36",-0.614639096797773,-0.626435658743993,-0.615898250751819,"weibull",1,100
"37",-0.212803640740317,-0.216261577307784,-0.210470192038726,"weibull",1,100
"38",-1.0814258375317,-1.06520134640748,-1.05242552640394,"weibull",1,100
"39",-0.998843879463777,-1.00538488117069,-0.994212322054838,"weibull",1,100
"40",-0.580055464154812,-0.591600410829497,-0.582341922502197,"weibull",1,100
"41",-0.536832533858911,-0.536506503361016,-0.544658717068675,"weibull",1,100
"42",-0.623180145738372,-0.634811382830507,-0.62437945574064,"weibull",1,100
"43",-0.92835332220834,-0.936932839923268,-0.936827431996812,"weibull",1,100
"44",-0.37024152907833,-0.382175860588265,-0.371070731665109,"weibull",1,100
"45",-0.718292774509632,-0.730334935459894,-0.72964591436201,"weibull",1,100
"46",-0.392731708448184,-0.382484525025392,-0.374574180459104,"weibull",1,100
"47",-0.0690756622845413,-0.0703705560315736,-0.0556109976662267,"weibull",1,100
"48",-0.221935649269701,-0.223064768186189,-0.225889343422604,"weibull",1,100
"49",-0.581247291194078,-0.58946882554227,-0.580992974320794,"weibull",1,100
"50",-0.904578335519985,-0.899072017196602,-0.877803829226678,"weibull",1,100
"51",-0.142155477652785,-0.141817938641557,-0.141115490718646,"weibull",1,100
