"","exp_beta","weibull_beta","cox_beta","dist","gamma","n"
"1",-0.142897095434305,-0.65399991095958,-0.709195230907088,"weibull",5,100
"2",-0.0685504838598621,-0.425833735838895,-0.473944410361813,"weibull",5,100
"3",-0.0540562376844033,-0.321390635295115,-0.373295134188956,"weibull",5,100
"4",-0.110520421786497,-0.516596045470063,-0.463936326227392,"weibull",5,100
"5",-0.0749075750756795,-0.413562486415011,-0.409037925181718,"weibull",5,100
"6",-0.0364371579610957,-0.210652622230911,-0.19472787282801,"weibull",5,100
"7",-0.162692846958283,-0.90732339623728,-0.886611597491629,"weibull",5,100
"8",-0.0574104422243091,-0.290308155305555,-0.291169350567877,"weibull",5,100
"9",-0.140776215075464,-0.696750465705881,-0.68653866834139,"weibull",5,100
"10",-0.04590133733877,-0.475289680351985,-0.464809042891921,"weibull",5,100
"11",-0.182174526814295,-0.620950739951883,-0.774540613731109,"weibull",5,100
"12",-0.101064631488551,-0.608982693368528,-0.690520640676852,"weibull",5,100
"13",-0.037515298655632,-0.168203803308541,-0.123185095047033,"weibull",5,100
"14",-0.111711837481977,-0.529132395151568,-0.536590055313764,"weibull",5,100
"15",-0.104849718661905,-0.506270295765102,-0.4777847873359,"weibull",5,100
"16",-0.0832287976226185,-0.559916788345757,-0.523531870720932,"weibull",5,100
"17",-0.084405634177389,-0.527726238653914,-0.491149300572208,"weibull",5,100
"18",-0.108931300813758,-0.572539175019966,-0.614660837723911,"weibull",5,100
"19",-0.143463464960889,-0.838342483594639,-0.800002127070958,"weibull",5,100
"20",-0.123340040468575,-0.542210003568665,-0.505376416758261,"weibull",5,100
"21",-0.137338237507206,-0.654596926875921,-0.664226068912337,"weibull",5,100
"22",-0.0216904858259209,-0.194001554747664,-0.217188367709132,"weibull",5,100
"23",-0.122146690963392,-0.590493813732069,-0.515028279293127,"weibull",5,100
"24",-0.120903771951696,-0.426098098453078,-0.478112820457788,"weibull",5,100
"25",-0.200347134983433,-0.862504492706709,-0.891172424047958,"weibull",5,100
"26",-0.0536195600079478,-0.340447657586096,-0.293737576851073,"weibull",5,100
"27",-0.18038462439781,-0.707760937585887,-0.688716520885954,"weibull",5,100
"28",-0.0318425985803026,-0.246701023032994,-0.231406871990651,"weibull",5,100
"29",-0.168750565393553,-0.626183391272308,-0.608126819753884,"weibull",5,100
"30",-0.144848811565321,-0.622447288092574,-0.580051879368592,"weibull",5,100
"31",-0.173177111085125,-0.81425495435078,-0.773569127263192,"weibull",5,100
"32",-0.116982763806229,-0.477308226622659,-0.450582113219084,"weibull",5,100
"33",-0.155104600130916,-0.629017759393475,-0.663600686197923,"weibull",5,100
"34",-0.0347633609665267,-0.186690843208938,-0.199584489180432,"weibull",5,100
"35",-0.134808376791025,-0.771880613145505,-0.812909856560206,"weibull",5,100
"36",-0.068242630788422,-0.38031496584072,-0.429868585703761,"weibull",5,100
"37",-0.111928904925345,-0.640345706312383,-0.619674924311428,"weibull",5,100
"38",-0.0923071000426001,-0.371461539811932,-0.425106092127197,"weibull",5,100
"39",-0.0944143978128732,-0.68971098858826,-0.635510435166617,"weibull",5,100
"40",-0.0928603480033112,-0.272985669304402,-0.308339309927064,"weibull",5,100
"41",-0.139645164678741,-0.763087164322896,-0.672019997833567,"weibull",5,100
"42",-0.125595907251559,-0.498543899264905,-0.477236396219881,"weibull",5,100
"43",-0.10015319307656,-0.598206650823408,-0.663443152880399,"weibull",5,100
"44",-0.0844934374400338,-0.475076383196458,-0.431573325221273,"weibull",5,100
"45",-0.070313237407991,-0.371126425077348,-0.372478437372282,"weibull",5,100
"46",-0.142060615688532,-0.815440926922726,-0.823426593678577,"weibull",5,100
"47",-0.106360952164801,-0.461628248593325,-0.454496755382997,"weibull",5,100
"48",-0.0722543883776607,-0.507851691917385,-0.58433715060652,"weibull",5,100
"49",-0.0648116440235297,-0.421370116001639,-0.433734213248815,"weibull",5,100
"50",-0.125868108613113,-0.477483426808702,-0.477403398382383,"weibull",5,100
"51",-0.102265470710097,-0.44545397829204,-0.426502316001339,"weibull",5,100
"52",-0.170496044086905,-1.00350039661778,-0.954334026933173,"weibull",5,100
"53",-0.225352149739492,-0.93001115536542,-0.972329343882831,"weibull",5,100
"54",-0.0956341387763742,-0.568031040424022,-0.505371690399699,"weibull",5,100
"55",-0.189887058474476,-1.01510568375819,-0.888544925943877,"weibull",5,100
"56",-0.22167586224339,-0.928707903711807,-0.938447449847927,"weibull",5,100
"57",-0.100905679314763,-0.457396527580004,-0.431971281382096,"weibull",5,100
"58",-0.143284153801646,-0.761753263132546,-0.74112636654542,"weibull",5,100
